date | value
2005-02-02 || 0.1
2011-09-14 abc| 390.57
2010-11-03 || 517.239
2020-06-26 | 998.808 |
2014-03-16 | 632.64 a
2014-03-17 | 632.64 | a
2014-03-18 | 632.64 | aa
2014-03-19 | 632.64;
2014-03-20 | 632.64 ;
2014-03-21 | 632.64 | ;
2014-03-22 | 632.64 a |
2014-03-23 | 632.64 a | a
2014-03-24 ; | 632.64
2014-03-25 | ; 632.64
2014-03-26 | a
2014-03-27 |
2016-02-29 | 1
2017-02-29 | 1
2a14-03-28 | 632.64
0014-03-29 | 632.64
2014/03/30 | 632.64
2014-33-16 | 632.64
2014-03-01 | 632.64.18
2014-04-2 | 0..
2014-03-3 | -0.1
2014-03-4 | -32 | 1
2014-03-5 | 632.64]{}{}
2014a-03-6 | 632.64
2014-03-7a | 632.64
2014-03-8; | 632.64
2014;-03-16 | 632.64
2019-26-25 | 416.636
2019-06-45 | 416.636
